horizon,MAE,RMSE,MAPE_%,R2
24h,69.1485366821289,87.03230285644531,1.1270346641540527,0.9854499101638794
72h,78.98660278320312,107.40705871582031,1.3187921047210693,0.9769148826599121
168h,73.56343841552734,103.33179473876953,1.2156834602355957,0.9785891771316528
