Начало часа;Конец часа;[ГТП_1] Потребление (МВтч);[ГТП_1] Температура ('C)
01.01.2012 0:00;01.01.2012 1:00;3 949,90;0,7
31.01.2023 23:00;01.02.2023 0:00;5 587,65;0,467
