series,count,min,max,mean,std,median,mode,skewness,kurtosis,q01,q05,q25,q50,q75,q95,q99
consumption,97177,2293.7591096540086,7755.181041559999,4681.332960021476,987.735115133882,4649.017195110431,2836.559244841486,0.08961933891104093,-0.5302837387068444,2691.052656793678,3022.0257586812945,3985.004990279488,4649.017195110431,5400.2264535079685,6339.205686004909,6856.126545396801
temperature,97177,-29.9,34.4,6.836367487505617,10.608177377082022,6.3,1.0,-0.08408117692645767,-0.5670354319900435,-17.4333333333333,-10.5,-0.667,6.3,15.3,23.6,28.074920000000173
