horizon,MAE,RMSE,MAPE_%,R2
24h,139.5331178615363,162.84004025019797,2.2658607942724247,0.9490636201866718
72h,147.77960783068127,175.1209625627866,2.4212462494699585,0.9386318596051584
168h,203.05976985538862,241.51588868900353,3.266585131429276,0.8830346536324752
